Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M1,EMAOrder,NON-STOP,E200>E20>E100>E50,3538,3538,0,11,0.310910,0.310910
BUY,M1,EMAOrder,NON-STOP,E200>E20>E50>E100,3538,3538,0,31,0.876201,0.876201
BUY,M1,EMAOrder,NON-STOP,E200>E50>E100>E20,3538,3538,0,27,0.763143,0.763143
BUY,M1,EMAOrder,NON-STOP,E200>E50>E20>E100,3538,3538,0,12,0.339175,0.339175
BUY,M1,EMAOrder,NON-STOP,E20>E100>E200>E50,3538,3538,0,0,0.000000,0.000000
BUY,M1,EMAOrder,NON-STOP,E20>E100>E50>E200,3538,3538,0,3,0.084794,0.084794
BUY,M1,EMAOrder,NON-STOP,E20>E200>E100>E50,3538,3538,0,1,0.028265,0.028265
BUY,M1,EMAOrder,NON-STOP,E20>E200>E50>E100,3538,3538,0,17,0.480497,0.480497
BUY,M1,EMAOrder,NON-STOP,E20>E50>E100>E200,3538,3538,0,324,9.157716,9.157716
BUY,M1,EMAOrder,NON-STOP,E20>E50>E200>E100,3538,3538,0,32,0.904466,0.904466
